epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,45.5724,0.52033,1.14782,0.82441,0.97853,1,0.995,0.995,0.40853,1.89204,0.77017,0.0027767,0.000925566,0.0027767,0.000925566,0.0027767,0.000925566,0.0027767,0.000925566
59,46.0652,0.62439,1.52264,0.82791,0.97853,1,0.995,0.995,0.40853,1.89204,0.77017,0.00281393,0.000937976,0.00281393,0.000937976,0.00281393,0.000937976,0.00281393,0.000937976
60,46.7818,0.5228,1.5857,0.81608,0.98043,1,0.995,0.94504,0.45847,1.81298,0.77069,0.00285076,0.000950254,0.00285076,0.000950254,0.00285076,0.000950254,0.00285076,0.000950254
61,47.2795,0.44948,1.1172,0.8232,0.98043,1,0.995,0.94504,0.45847,1.81298,0.77069,0.0028872,0.0009624,0.0028872,0.0009624,0.0028872,0.0009624,0.0028872,0.0009624
62,47.7768,0.53514,1.38498,0.8191,0.98043,1,0.995,0.94504,0.45847,1.81298,0.77069,0.00292324,0.000974414,0.00292324,0.000974414,0.00292324,0.000974414,0.00292324,0.000974414
63,48.4714,0.56758,1.54155,0.83129,0.98145,1,0.995,0.94504,0.39706,1.71426,0.76521,0.00295889,0.000986296,0.00295889,0.000986296,0.00295889,0.000986296,0.00295889,0.000986296
64,48.9793,0.55649,1.3702,0.80816,0.98145,1,0.995,0.94504,0.39706,1.71426,0.76521,0.00299414,0.000998046,0.00299414,0.000998046,0.00299414,0.000998046,0.00299414,0.000998046
65,49.466,0.63296,1.69318,0.92751,0.98145,1,0.995,0.94504,0.39706,1.71426,0.76521,0.00302899,0.00100966,0.00302899,0.00100966,0.00302899,0.00100966,0.00302899,0.00100966
66,50.1475,0.61329,1.37788,0.82396,0.98179,1,0.995,0.995,0.41939,1.69837,0.76716,0.00306345,0.00102115,0.00306345,0.00102115,0.00306345,0.00102115,0.00306345,0.00102115
67,50.644,0.40508,0.96818,0.78545,0.98179,1,0.995,0.995,0.41939,1.69837,0.76716,0.00309751,0.0010325,0.00309751,0.0010325,0.00309751,0.0010325,0.00309751,0.0010325
68,51.1352,0.41775,1.95045,0.80094,0.98179,1,0.995,0.995,0.41939,1.69837,0.76716,0.00313118,0.00104373,0.00313118,0.00104373,0.00313118,0.00104373,0.00313118,0.00104373
69,51.8027,0.528,1.57004,0.77873,0.9821,1,0.995,0.995,0.42199,1.65231,0.7676,0.00316445,0.00105482,0.00316445,0.00105482,0.00316445,0.00105482,0.00316445,0.00105482
70,52.3092,0.58516,1.54113,0.8171,0.9821,1,0.995,0.995,0.42199,1.65231,0.7676,0.00319732,0.00106577,0.00319732,0.00106577,0.00319732,0.00106577,0.00319732,0.00106577
71,53.0007,0.48996,1.8801,0.82389,0.9821,1,0.995,0.995,0.42199,1.65231,0.7676,0.0032298,0.0010766,0.0032298,0.0010766,0.0032298,0.0010766,0.0032298,0.0010766
72,53.6902,0.60527,1.10458,0.79511,0.98237,1,0.995,0.92029,0.41745,1.69923,0.76559,0.00326188,0.00108729,0.00326188,0.00108729,0.00326188,0.00108729,0.00326188,0.00108729
73,54.1702,0.55684,1.35585,0.7886,0.98237,1,0.995,0.92029,0.41745,1.69923,0.76559,0.00329357,0.00109786,0.00329357,0.00109786,0.00329357,0.00109786,0.00329357,0.00109786
74,54.6633,0.45038,1.56166,0.842,0.98237,1,0.995,0.92029,0.41745,1.69923,0.76559,0.00332486,0.00110829,0.00332486,0.00110829,0.00332486,0.00110829,0.00332486,0.00110829
75,55.4216,0.46568,1.32501,0.8,0.98219,1,0.995,0.8955,0.50888,1.66843,0.76574,0.00335575,0.00111858,0.00335575,0.00111858,0.00335575,0.00111858,0.00335575,0.00111858
76,55.9203,0.66565,1.34195,0.93032,0.98219,1,0.995,0.8955,0.50888,1.66843,0.76574,0.00338625,0.00112875,0.00338625,0.00112875,0.00338625,0.00112875,0.00338625,0.00112875
77,56.4147,0.6874,1.37437,0.83415,0.98219,1,0.995,0.8955,0.50888,1.66843,0.76574,0.00341635,0.00113878,0.00341635,0.00113878,0.00341635,0.00113878,0.00341635,0.00113878
78,57.0812,0.43158,1.49023,0.79313,0.98171,1,0.995,0.8955,0.46093,1.67204,0.75888,0.00344606,0.00114869,0.00344606,0.00114869,0.00344606,0.00114869,0.00344606,0.00114869
79,57.5615,0.56032,1.82865,0.84624,0.98171,1,0.995,0.8955,0.46093,1.67204,0.75888,0.00347537,0.00115846,0.00347537,0.00115846,0.00347537,0.00115846,0.00347537,0.00115846
80,58.0574,0.58997,1.15489,0.82595,0.98171,1,0.995,0.8955,0.46093,1.67204,0.75888,0.00350428,0.00116809,0.00350428,0.00116809,0.00350428,0.00116809,0.00350428,0.00116809
81,58.7226,0.51441,1.12031,0.80546,0.98134,1,0.995,0.8955,0.46649,1.65524,0.76462,0.0035328,0.0011776,0.0035328,0.0011776,0.0035328,0.0011776,0.0035328,0.0011776
82,59.1973,0.5371,1.08686,0.80663,0.98134,1,0.995,0.8955,0.46649,1.65524,0.76462,0.00356092,0.00118697,0.00356092,0.00118697,0.00356092,0.00118697,0.00356092,0.00118697
83,59.6788,0.61324,1.62701,0.91035,0.98134,1,0.995,0.8955,0.46649,1.65524,0.76462,0.00358865,0.00119622,0.00358865,0.00119622,0.00358865,0.00119622,0.00358865,0.00119622
84,60.3499,0.48899,1.16211,0.81101,0.98083,1,0.995,0.8955,0.56571,1.6535,0.78255,0.00361598,0.00120533,0.00361598,0.00120533,0.00361598,0.00120533,0.00361598,0.00120533
85,60.8419,0.46055,2.10987,0.86336,0.98083,1,0.995,0.8955,0.56571,1.6535,0.78255,0.00364291,0.0012143,0.00364291,0.0012143,0.00364291,0.0012143,0.00364291,0.0012143
86,61.3307,0.58209,1.20688,0.84231,0.98083,1,0.995,0.8955,0.56571,1.6535,0.78255,0.00366945,0.00122315,0.00366945,0.00122315,0.00366945,0.00122315,0.00366945,0.00122315
87,61.8257,0.51086,1.44036,0.85904,0.98083,1,0.995,0.8955,0.56571,1.6535,0.78255,0.00369559,0.00123186,0.00369559,0.00123186,0.00369559,0.00123186,0.00369559,0.00123186
88,62.4927,0.58124,1.39617,0.88248,0.98057,1,0.995,0.8955,0.54672,1.60086,0.78272,0.00372134,0.00124045,0.00372134,0.00124045,0.00372134,0.00124045,0.00372134,0.00124045
89,62.9819,0.5505,1.17093,0.75952,0.98057,1,0.995,0.8955,0.54672,1.60086,0.78272,0.00374669,0.0012489,0.00374669,0.0012489,0.00374669,0.0012489,0.00374669,0.0012489
90,63.516,0.48796,1.3467,0.81966,0.98057,1,0.995,0.8955,0.54672,1.60086,0.78272,0.00377164,0.00125721,0.00377164,0.00125721,0.00377164,0.00125721,0.00377164,0.00125721
91,64.0135,0.5465,1.24426,0.88441,0.98057,1,0.995,0.8955,0.54672,1.60086,0.78272,0.0037962,0.0012654,0.0037962,0.0012654,0.0037962,0.0012654,0.0037962,0.0012654
92,64.6723,0.39984,1.16952,0.83519,0.98095,1,0.995,0.8955,0.55096,1.48529,0.78936,0.00382036,0.00127345,0.00382036,0.00127345,0.00382036,0.00127345,0.00382036,0.00127345
93,65.1584,0.49837,1.50262,0.83094,0.98095,1,0.995,0.8955,0.55096,1.48529,0.78936,0.00384413,0.00128138,0.00384413,0.00128138,0.00384413,0.00128138,0.00384413,0.00128138
94,65.6389,0.38636,1.28586,0.74249,0.98095,1,0.995,0.8955,0.55096,1.48529,0.78936,0.0038675,0.00128917,0.0038675,0.00128917,0.0038675,0.00128917,0.0038675,0.00128917
95,66.1357,0.35973,1.41989,0.75562,0.98095,1,0.995,0.8955,0.55096,1.48529,0.78936,0.00389047,0.00129682,0.00389047,0.00129682,0.00389047,0.00129682,0.00389047,0.00129682
96,66.8089,0.51227,1.24372,0.88433,0.98149,1,0.995,0.8955,0.54346,1.3909,0.76942,0.00391305,0.00130435,0.00391305,0.00130435,0.00391305,0.00130435,0.00391305,0.00130435
97,67.4865,0.5521,2.37061,1.07327,0.98149,1,0.995,0.8955,0.54346,1.3909,0.76942,0.00393523,0.00131174,0.00393523,0.00131174,0.00393523,0.00131174,0.00393523,0.00131174
98,68.0189,0.70015,1.24147,0.88987,0.98149,1,0.995,0.8955,0.54346,1.3909,0.76942,0.00395702,0.00131901,0.00395702,0.00131901,0.00395702,0.00131901,0.00395702,0.00131901
99,68.5002,0.43264,1.57629,0.74279,0.98149,1,0.995,0.8955,0.54346,1.3909,0.76942,0.00397841,0.00132614,0.00397841,0.00132614,0.00397841,0.00132614,0.00397841,0.00132614
100,69.1668,0.52572,1.26562,0.81019,0.98149,1,0.995,0.8955,0.48198,1.28191,0.76377,0.0039994,0.00133313,0.0039994,0.00133313,0.0039994,0.00133313,0.0039994,0.00133313
101,69.6494,0.67489,1.41179,0.87877,0.98149,1,0.995,0.8955,0.48198,1.28191,0.76377,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
102,70.1264,0.57081,1.18472,0.82504,0.98149,1,0.995,0.8955,0.48198,1.28191,0.76377,0.0040002,0.0013334,0.0040002,0.0013334,0.0040002,0.0013334,0.0040002,0.0013334
103,70.6519,0.35197,1.12098,0.81116,0.98149,1,0.995,0.8955,0.48198,1.28191,0.76377,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
104,71.3021,0.43611,1.25517,0.79639,0.98215,1,0.995,0.8955,0.56376,1.24523,0.77019,0.0039606,0.0013202,0.0039606,0.0013202,0.0039606,0.0013202,0.0039606,0.0013202
105,71.776,0.50869,0.97502,0.85992,0.98215,1,0.995,0.8955,0.56376,1.24523,0.77019,0.0039408,0.0013136,0.0039408,0.0013136,0.0039408,0.0013136,0.0039408,0.0013136
106,72.284,0.45354,1.04591,0.80615,0.98215,1,0.995,0.8955,0.56376,1.24523,0.77019,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
107,72.7714,0.49197,0.97918,0.8525,0.98215,1,0.995,0.8955,0.56376,1.24523,0.77019,0.0039012,0.0013004,0.0039012,0.0013004,0.0039012,0.0013004,0.0039012,0.0013004
108,73.4339,0.39696,1.14784,0.80185,0.98246,1,0.995,0.82079,0.62949,1.26502,0.77885,0.0038814,0.0012938,0.0038814,0.0012938,0.0038814,0.0012938,0.0038814,0.0012938
109,73.9196,0.41706,2.06991,0.84115,0.98246,1,0.995,0.82079,0.62949,1.26502,0.77885,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
110,74.4075,0.39654,1.54701,0.7189,0.98246,1,0.995,0.82079,0.62949,1.26502,0.77885,0.0038418,0.0012806,0.0038418,0.0012806,0.0038418,0.0012806,0.0038418,0.0012806
111,74.8998,0.37278,1.18037,0.7764,0.98246,1,0.995,0.82079,0.62949,1.26502,0.77885,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
112,75.5582,0.45157,1.41176,0.8617,0.98217,1,0.995,0.8955,0.66832,1.20856,0.76625,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
113,76.0514,0.46549,1.04912,0.76309,0.98217,1,0.995,0.8955,0.66832,1.20856,0.76625,0.0037824,0.0012608,0.0037824,0.0012608,0.0037824,0.0012608,0.0037824,0.0012608
114,76.5374,0.41141,1.00773,0.80377,0.98217,1,0.995,0.8955,0.66832,1.20856,0.76625,0.0037626,0.0012542,0.0037626,0.0012542,0.0037626,0.0012542,0.0037626,0.0012542
115,77.0997,0.62206,1.86693,0.9772,0.98217,1,0.995,0.8955,0.66832,1.20856,0.76625,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
116,77.764,0.55673,1.09336,0.83961,0.98243,1,0.995,0.8955,0.60429,1.17367,0.76908,0.003723,0.001241,0.003723,0.001241,0.003723,0.001241,0.003723,0.001241
117,78.257,0.51242,0.99005,0.83488,0.98243,1,0.995,0.8955,0.60429,1.17367,0.76908,0.0037032,0.0012344,0.0037032,0.0012344,0.0037032,0.0012344,0.0037032,0.0012344
118,78.7293,0.46231,1.01947,0.77946,0.98243,1,0.995,0.8955,0.60429,1.17367,0.76908,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
119,79.2132,0.39091,1.03125,0.8063,0.98243,1,0.995,0.8955,0.60429,1.17367,0.76908,0.0036636,0.0012212,0.0036636,0.0012212,0.0036636,0.0012212,0.0036636,0.0012212
