epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,411.576,0.67803,7.85378,0.89322,0.00333,1,0.995,0.92029,0.46117,9.74397,0.89514,0.000245364,0.000245364,0.000245364
23,430.107,0.8002,6.9895,1.0321,0.00333,1,0.995,0.8955,0.52055,9.88696,0.89907,0.000248336,0.000248336,0.000248336
24,448.255,0.69459,5.37115,0.88821,0.00333,1,0.995,0.8955,0.52055,9.88696,0.89907,0.000250516,0.000250516,0.000250516
25,466.555,0.72197,10.5122,0.89291,0.00333,1,0.995,0.8955,0.47485,10.0386,0.89348,0.000251904,0.000251904,0.000251904
26,484.968,0.55275,7.01692,0.86222,0.00333,1,0.995,0.8955,0.47485,10.0386,0.89348,0.0002525,0.0002525,0.0002525
27,503.328,0.52393,5.89026,0.80325,0.00333,1,0.995,0.92029,0.45137,9.854,0.89172,0.000252304,0.000252304,0.000252304
28,521.575,0.48284,6.88947,0.88718,0.00333,1,0.995,0.92029,0.45137,9.854,0.89172,0.000251316,0.000251316,0.000251316
29,540.085,0.50661,6.67893,0.85196,0.00333,1,0.995,0.92029,0.4467,9.8922,0.90016,0.000249536,0.000249536,0.000249536
30,558.444,0.79338,7.00547,0.89277,0.00333,1,0.995,0.92029,0.4467,9.8922,0.90016,0.000246964,0.000246964,0.000246964
31,576.811,0.42447,8.73085,0.88673,0.00333,1,0.995,0.8955,0.50743,10.0044,0.91332,0.0002436,0.0002436,0.0002436
32,595.058,0.75731,8.59836,0.83487,0.00333,1,0.995,0.8955,0.50743,10.0044,0.91332,0.000239444,0.000239444,0.000239444
33,613.872,0.75205,5.57863,0.87643,0.00333,1,0.995,0.8955,0.59016,10.5402,0.9376,0.000234496,0.000234496,0.000234496
34,632.105,0.64527,4.89193,1.0095,0.00333,1,0.995,0.8955,0.59016,10.5402,0.9376,0.000228756,0.000228756,0.000228756
35,650.607,0.72398,6.49728,0.91369,0.00333,1,0.995,0.8955,0.57002,10.7411,0.92135,0.000222224,0.000222224,0.000222224
36,668.962,0.62505,8.94713,0.96198,0.00333,1,0.995,0.8955,0.57002,10.7411,0.92135,0.0002149,0.0002149,0.0002149
37,687.533,0.43295,5.92356,0.77992,0.00333,1,0.995,0.94504,0.50733,10.6509,0.90427,0.000206784,0.000206784,0.000206784
38,705.917,0.38833,9.86428,0.8223,0.00333,1,0.995,0.94504,0.50733,10.6509,0.90427,0.000197876,0.000197876,0.000197876
39,724.387,0.50198,4.61125,0.90917,0.00333,1,0.995,0.94504,0.48275,11.1812,0.89698,0.000188176,0.000188176,0.000188176
40,743.064,0.50104,11.2059,0.86406,0.00333,1,0.995,0.94504,0.48275,11.1812,0.89698,0.000177684,0.000177684,0.000177684
41,761.275,0.5726,8.26759,0.87131,0.00333,1,0.995,0.94504,0.46033,11.1979,0.89267,0.0001664,0.0001664,0.0001664
42,779.54,0.49058,8.35234,0.81836,0.00333,1,0.995,0.94504,0.46033,11.1979,0.89267,0.000154324,0.000154324,0.000154324
43,797.881,0.49697,8.66456,0.78532,0.51629,1,0.995,0.94504,0.48498,11.1177,0.8958,0.000141456,0.000141456,0.000141456
